0, 0, 1e-20, 1e-20, 0, 0 , 0.0, 56, 1
1.667332771101248889e+00, -1.016427891647814459e-05, -3.628280024600517850e-02, 4.529536322081908111e+02, -6.633756430349784239e-01, 1.297950930795779527e+02, 12484.97668143219, 0, 0
1.673123285892326173e+00, -1.016500632022625874e-05, -3.657346964504935155e-02, 4.056652015775399036e+02, -5.949865785641536009e-01, 1.178821897978601356e+02, 11092.788816171327, 0, 0
1.678913800683403901e+00, -1.016573372397437458e-05, -3.686413904409351766e-02, 3.587028840316579021e+02, -5.265975140933281118e-01, 1.060262347624243660e+02, 9731.401776170882, 0, 0
1.684704315474481628e+00, -1.016646112772249042e-05, -3.715480844313769071e-02, 3.120633177248207630e+02, -4.582084496225019565e-01, 9.422682116698778998e+01, 8400.002196509973, 0, 0
1.690493285920201760e+00, -1.016754385507564513e-05, -3.709460582082796387e-02, 2.652023985867191413e+02, -3.898193851516764674e-01, 8.234587654419780733e+01, 7150.3521151749965, 0, 0
1.696280776191796402e+00, -1.016896714149094844e-05, -3.669811074613595070e-02, 2.181447870662987043e+02, -3.214303206808509783e-01, 7.038968849981591802e+01, 5945.305650373781, 0, 0
1.702068266463391044e+00, -1.017039042790625343e-05, -3.630161567144393753e-02, 1.714072815029548451e+02, -2.530412562100247675e-01, 5.849011456902015027e+01, 4722.753517923708, 0, 0
1.707855756734985464e+00, -1.017181371432155673e-05, -3.590512059675192436e-02, 1.249866267155300079e+02, -1.846521917391992784e-01, 4.664675366352885533e+01, 3482.025119487738, 0, 0
1.713643247006579662e+00, -1.017323700073686173e-05, -3.550862552205992506e-02, 7.887961152100456275e+01, -1.162631272683758432e-01, 3.485920856991499761e+01, 2222.421143772523, 0, 0
1.719430737278174304e+00, -1.017466028715216842e-05, -3.511213044736791189e-02, 3.308306797509686703e+01, -4.787406279755034716e-02, 2.312708573624627206e+01, 943.2119237306732, 0, 0
1.725218227549768724e+00, -1.017608357356747172e-05, -3.471563537267589872e-02, -1.240612934009163837e+01, 2.051500167327445501e-02, 1.144999474978094156e+01, 356.3643174584181, 0, 0
1.731005717821363366e+00, -1.017750685998277672e-05, -3.431914029798388555e-02, -5.759106404589442718e+01, 8.890406614410133190e-02, -1.724502001167280696e-01, 1677.1033425035323, 0, 0
1.736793208092958007e+00, -1.017893014639808171e-05, -3.392264522329187237e-02, -1.024747786218624697e+02, 1.572931306149261410e-01, -1.174063236187740245e+01, 3019.836905475211, 0, 0
1.742580698364552649e+00, -1.018035343281338502e-05, -3.352615014859986614e-02, -1.470602751496221856e+02, 2.256821950857523240e-01, -2.325493036920696710e+01, 4385.434902241938, 0, 0
1.748368555209265374e+00, -1.018197660671411753e-05, -3.321305869590000792e-02, -1.807446450691826385e+02, 2.774700064373357145e-01, -3.192690815643973679e+01, 5440.9753002602765, 0, 0
1.754157109178611673e+00, -1.018397991348034784e-05, -3.305857876283808949e-02, -1.941036813238357013e+02, 2.976866471102147527e-01, -3.526739696134833224e+01, 5870.507142407227, 0, 0
1.759945663147957529e+00, -1.018598322024657815e-05, -3.290409882977617106e-02, -2.073748033453296387e+02, 3.179032877830924031e-01, -3.859243602445005195e+01, 6301.400330674556, 0, 0
1.765734217099125480e+00, -1.018802098974027326e-05, -3.274962936507597178e-02, -2.205593968769304638e+02, 3.381178447584227142e-01, -4.189425887174478191e+01, 6733.714289992357, 0, 0
1.771522770935379354e+00, -1.019027662312420815e-05, -3.259522607848105297e-02, -2.336610727236836453e+02, 3.583192291706133181e-01, -4.513122492120930929e+01, 7167.5673282672415, 0, 0
